InvoiceID,InvoiceSequenceID,OMONumber,InvoiceBillAmount,InvoicePayAmount,SalesTax,AdminFee,PaymentID,ChargeAmount,Payment Term,InvoiceStatus,InvoiceDate,DateTransferDoF,DaysDel
1,E104408,E104408,395,395,32.59,59.25,28944,486.84,30,Dispute,9/18/2000,2/20/2001,90PDayDel
1,E103881,E103881,28.8,28.8,2.38,15,29873,46.18,30,Dispute,09-12-2000,2/20/2001,90PDayDel
1,E100775,E100775,70,70,5.78,15,30209,90.78,30,Dispute,8/14/2000,2/20/2001,90PDayDel
1,E105408,E105408,14.6,14.6,1.2,15,31915,30.8,30,Dispute,9/29/2000,2/20/2001,90PDayDel
1,E105518,E105518,21.9,21.6,1.78,15,32169,38.38,30,NotDispute,9/29/2000,12/20/2000,60DayDel
1,E014869,E014869,1595,1595,131.59,75,12875,1801.59,30,Dispute,1/22/2000,10/18/2000,90PDayDel
1,E019388,E019388,1195,1195,98.59,75,18982,1368.59,30,Dispute,4/26/2000,1/19/2001,90PDayDel
1,E111921,E111921,43.8,43.8,3.61,15,41179,62.41,30,NotDispute,12/31/2000,2/20/2001,30DayDel
1,E109123,E109123,50,50,4.13,15,42600,69.13,30,NotDispute,02-08-2001,3/20/2001,30DayDel
1,E109307,E109307,280,70,5.78,15,45524,90.78,30,Dispute,12/13/2000,4/20/2001,90PDayDel
1,E116691,E116691,715,715,58.99,75,46554,848.99,30,NotDispute,2/22/2001,4/20/2001,30DayDel
1,9931,E118782,259.78,259.78,10.39,38.97,49213,309.14,30,Dispute,3/21/2001,10/22/2001,90PDayDel
1,E117080,E117080,1135,1135,93.64,75,50350,1303.64,30,NotDispute,3/29/2001,5/18/2001,30DayDel
1,E108500,E108500,70,70,5.78,15,53481,90.78,45,Dispute,12-12-2000,5/18/2001,90PDayDel
1,E108942,E108942,939,469,38.69,70.35,54612,578.04,30,Dispute,12-01-2000,10/22/2001,90PDayDel
1,E116289,E116289,1988,1988,164.01,75,56005,2227.01,30,Dispute,03-02-2001,10/22/2001,90PDayDel
1,E122918,E122918,14.2,14.2,1.17,15,60401,30.37,30,Dispute,5/31/2001,10/22/2001,90PDayDel
1,D100407,D100407,350,350,28.88,52.5,61333,431.38,30,Dispute,5/25/2001,10/22/2001,90PDayDel
1,E122847,E122847,3892,3892,321.09,75,65341,4288.09,30,Dispute,06-08-2001,10/22/2001,90PDayDel
1,E201691,E201691,28.8,28.8,2.38,15,67998,46.18,30,NotDispute,8/14/2001,10/22/2001,60DayDel
1,E118018,E118018,65,65,5.36,15,70579,85.36,30,Dispute,3/13/2001,11/19/2001,90PDayDel
1,E203172,E203172,750,750,61.88,75,72183,886.88,30,NotDispute,09-04-2001,11/19/2001,60DayDel
1,65-5814-0532-01,E205998,62.62,62.62,2.5,15,73287,80.12,30,NotDispute,9/17/2001,11/19/2001,60DayDel
2,65-5814-0532-01,E205998,56.11,56.11,2.24,15,75972,73.35,45,Dispute,10/16/2001,8/20/2003,90PDayDel
3,65-5814-0532-01,E205998,58.6,58.6,2.34,15,79779,75.94,45,NotDispute,11/15/2001,1/22/2002,30DayDel
4,65-5814-0532-01,E205998,51.99,51.99,2.08,15,82735,69.07,45,NotDispute,12/17/2001,2/19/2002,30DayDel
1,70-2140-5490-00,E206751,95.45,95.45,3.82,15,77195,114.27,45,NotDispute,11-07-2001,12/19/2001,On-Time
2,70-2140-5490-00,E206751,138.48,138.48,5.54,20.77,81177,164.79,45,NotDispute,11/30/2001,2/19/2002,60DayDel
3,70-2140-5490-00,E206751,134.35,134.35,5.37,20.15,84887,159.87,45,NotDispute,12/31/2001,3/21/2002,60DayDel
4,70-2140-5490-00,E206751,119.98,119.98,4.8,18,89081,142.78,45,NotDispute,1/31/2002,4/19/2002,60DayDel
5,70-2140-5490-00,E206751,94.08,94.08,3.76,15,94091,112.84,45,NotDispute,04-03-2002,5/17/2002,On-Time
6,7.02E+14,E206751,80.4,80.4,3.22,15,97859,98.62,45,NotDispute,05-02-2002,6/20/2002,30DayDel
7,7.02E+14,E206751,77.03,0,0,0,,0,45,NotDispute,07-02-2002,,90PDayDel
1,E208130,E208130,199,199,16.42,29.85,82077,245.27,30,NotDispute,11/26/2001,2/19/2002,60DayDel
1,E207450,E207450,1650,1650,136.13,75,82331,1861.13,30,NotDispute,12-11-2001,2/19/2002,60DayDel
1,E124628,E124628,1390,1390,114.68,75,83287,1579.68,30,Dispute,7/17/2001,2/19/2002,90PDayDel
1,E213529,E213529,70,70,5.78,15,86711,90.78,30,NotDispute,02-04-2002,3/21/2002,30DayDel
1,E213535,E213535,565,565,46.61,75,86717,686.61,30,NotDispute,1/30/2002,3/21/2002,30DayDel
1,E214727,E214727,345,345,28.46,51.75,90544,425.21,30,NotDispute,03-08-2002,4/19/2002,30DayDel
1,E213152,E213152,395,395,32.59,59.25,100660,486.84,30,Dispute,1/21/2002,7/19/2002,90PDayDel
